48,8889	94,4444	31,9083
48,8889	94,4444	27,1619
41,1111	91,1111	37,6216
48,8889	91,6667	30,7618
46,6667	94,4444	28,8011
50	94,4444	34,016
43,3333	91,6667	28,7597
54,4444	94,4444	30,7065
46,6667	92,2222	29,2388
45,5556	91,1111	32,7606

51,0791	80,3109	131,439
51,0791	77,7202	122,559
53,2374	77,2021	120,9
51,4388	75,1295	118,479
46,7626	80,3109	129,942
54,3165	80,829	116,096
47,1223	81,3472	116,275
43,8849	80,3109	111,857
50	76,6839	135,082
51,7986	80,829	157,35

53,3333	97,193	24,3965
33,3333	97,8947	24,9201
63,3333	97,193	25,6797
46,6667	98,5965	27,6051
40	95,7895	27,2535
43,3333	98,2456	26,616
50	97,5439	23,9284
46,6667	98,5965	22,4222
53,3333	98,2456	22,5046
36,6667	95,7895	19,4972
