45,5556	93,8889	26,5169
42,2222	95	30,5995
50	90,5556	31,0528
43,3333	91,6667	25,0108
53,3333	95	25,0367
42,2222	93,8889	25,571
51,1111	93,8889	29,623
43,3333	95,5556	30,2569
51,1111	91,6667	30,1881
50	91,6667	30,164


50	80,3109	106,278
54,6763	82,3834	102,418
51,4388	81,8653	103,175
52,1583	76,6839	100,366
47,1223	79,2746	101,834
53,2374	77,2021	102,006
49,6403	82,9016	104,877
52,8777	82,3834	103,417
51,0791	77,2021	107,356
51,0791	81,3472	101,238


63,3333	96,4912	24,7985
66,6667	98,2456	24,8664
53,3333	97,5439	25,0566
33,3333	98,2456	25,4944
43,3333	97,5439	20,3464
53,3333	98,5965	25,5394
50	97,5439	24,5036
46,6667	96,4912	25,4206
50	97,193	25,0738
36,6667	97,193	20,2413
