87,2222	47,7778	384,587
88,8889	47,7778	424,072
88,8889	57,7778	321,774
90,5556	50	306,919
88,3333	61,1111	367,852
90	57,7778	347,998
86,6667	48,8889	379,195
96,1111	50	350,612
92,7778	41,1111	329,64
91,1111	47,7778	329,729
83,9378	50	1222,76
81,3472	55,036	1398,11
81,8653	51,0791	1245,1
74,6114	52,1583	1081,43
77,7202	52,8777	1004,14
83,4197	47,1223	1017,59
81,3472	51,4389	1031,92
80,3109	52,8777	1057,97
80,3109	46,7626	1015,74
78,2383	44,2446	1140,33
96,1404	50	339,902
85,2632	53,3333	338,394
95,4386	56,6667	330,508
96,4912	56,6667	319,588
96,4912	43,3333	349,432
97,5439	50	319,232
81,4035	63,3333	336,695
82,1053	33,3333	338,978
98,2456	26,6667	330,228
81,7544	43,3333	325,75
