90,5556	50	308,658
92,2222	48,8889	307,236
91,1111	54,4444	316,727
92,2222	51,1111	307,73
91,1111	54,4444	319,328
87,2222	42,2222	310,421
92,2222	51,1111	306,178
87,7778	44,4444	313,694
90,5556	46,6667	311,51
92,7778	45,5556	307,012
81,3472	54,6763	1090,47
81,3472	51,4389	1040,23
83,9378	53,5971	1013,4
78,7565	50,3597	1013,85
78,2383	50,7194	1052,2
80,829	50,7194	1077,57
81,8653	49,2806	1004,25
77,7202	55,036	1026,85
79,7927	55,036	1006,06
80,829	53,2374	1106,55
83,1579	63,3333	323,646
88,4211	40	325,71
98,2456	36,6667	325,208
93,3333	36,6667	324,751
97,5439	56,6667	325,396
97,5439	43,3333	324,855
95,7895	56,6667	324,321
97,5439	50	323,916
82,1053	40	325,549
96,8421	63,3333	324,841
