85,5556	42,2222	320,064
86,1111	41,1111	317,458
82,2222	46,6667	309,121
94,4444	48,8889	307,676
93,3333	56,6667	311,594
90,5556	42,2222	321,441
91,1111	52,2222	307,143
94,4444	58,8889	316,164
91,1111	41,1111	319,686
89,4444	53,3333	316,355
82,9016	52,518	1101,88
78,2383	51,4389	1003,8
82,3834	54,3165	1016,36
78,7565	50	1005,7
82,3834	46,7626	1037,23
78,7565	49,6403	1012,93
81,8653	50,7194	1009,51
80,829	50,7194	1024,11
77,7202	51,7986	1032,63
79,7927	52,8777	1004,52
97,193	40	319,558
97,193	50	319,844
97,193	53,3333	320,102
97,193	50	319,893
96,8421	60	322,9
97,8947	40	320,044
83,1579	33,3333	319,927
97,193	43,3333	319,379
95,7895	63,3333	319,531
96,1404	60	319,673
